date,open,high,low,close,volume
2018-06-19 00:00:00,6709.2,6848.2,6655.0,6735.5,116540181.13
2018-06-20 00:00:00,6735.5,6825.0,6560.0,6760.4,123733177.89
2018-06-21 00:00:00,6760.4,6788.8,6679.3,6715.2,71628297.19
2018-06-22 00:00:00,6715.2,6731.0,5910.8,6042.6,335779402.98
2018-06-23 00:00:00,6042.6,6259.0,6013.0,6151.93,124940081.25
2018-06-24 00:00:00,6151.93,6249.7,5755.0,6148.04,268869090.32
2018-06-25 00:00:00,6148.04,6341.0,6068.5,6246.6,165952361.5
2018-06-26 00:00:00,6246.6,6280.8,6050.2,6073.4,114190823.49
2018-06-27 00:00:00,6073.4,6192.7,5984.9,6133.09,110540087.52
2018-06-28 00:00:00,6133.09,6170.9,5822.3,5848.1,106826644.19
2018-06-29 00:00:00,5848.1,6302.0,5780.0,6208.1,188652525.19
2018-06-30 00:00:00,6208.1,6545.5,6195.2,6391.5,141720715.41
2018-07-01 00:00:00,6391.5,6439.9,6260.0,6349.7,71262027.81
2018-07-02 00:00:00,6349.7,6681.2,6275.0,6617.6,171535629.02
2018-07-03 00:00:00,6617.6,6675.2,6470.5,6509.0,113481158.31
2018-07-04 00:00:00,6509.0,6784.9,6414.1,6590.0,147038326.7
2018-07-05 00:00:00,6590.0,6704.7,6423.4,6531.7,147736305.36
2018-07-06 00:00:00,6531.7,6641.78,6451.9,6602.2,96991793.87
2018-07-07 00:00:00,6602.2,6837.0,6511.0,6761.8,87955369.89
2018-07-08 00:00:00,6761.8,6801.9,6669.9,6707.0,89510628.82
2018-07-09 00:00:00,6707.0,6820.0,6616.6,6666.9,105776967.91
2018-07-10 00:00:00,6666.9,6685.8,6260.1,6301.8,169553566.06
2018-07-11 00:00:00,6301.8,6407.9,6286.3,6377.8,103682065.34
2018-07-12 00:00:00,6377.8,6377.8,6079.9,6249.0,144338397.39
2018-07-13 00:00:00,6249.0,6339.9,6125.0,6220.0,124284898.06
2018-07-14 00:00:00,6220.0,6320.0,6179.2,6250.0,55502620.26
2018-07-15 00:00:00,6250.0,6389.0,6230.3,6347.2,64609535.39
2018-07-16 00:00:00,6347.2,6750.0,6327.1,6729.2,190390516.0
2018-07-17 00:00:00,6729.2,7483.9,6666.0,7319.8,316592618.06
2018-07-18 00:00:00,7319.8,7588.0,7246.5,7379.4,292175116.14
2018-07-19 00:00:00,7379.4,7560.0,7281.4,7473.5,164367053.07
2018-07-20 00:00:00,7473.5,7685.2,7273.1,7333.1,234637716.92
2018-07-21 00:00:00,7333.1,7459.0,7221.0,7403.4,81778072.33
2018-07-22 00:00:00,7403.4,7575.0,7329.1,7397.6,125560662.91
2018-07-23 00:00:00,7397.6,7812.9,7374.0,7718.9,329934961.16
2018-07-24 00:00:00,7718.9,8502.6,7690.0,8390.0,490709109.45
2018-07-25 00:00:00,8390.0,8488.1,8073.0,8178.4,296050005.39
2018-07-26 00:00:00,8178.4,8323.1,7869.6,7939.0,256249041.67
2018-07-27 00:00:00,7939.0,8291.0,7815.09,8188.0,266476948.87
2018-07-28 00:00:00,8188.0,8262.0,8067.2,8235.6,104433957.5
2018-07-29 00:00:00,8235.6,8313.3,8123.0,8221.0,83553959.28
2018-07-30 00:00:00,8221.0,8301.73,7861.2,8179.5,297960104.36
2018-07-31 00:00:00,8179.5,8179.5,7664.9,7731.3,337779783.1
2018-08-01 00:00:00,7731.3,7756.1,7440.2,7606.0,224258256.76
2018-08-02 00:00:00,7606.0,7713.0,7450.0,7535.2,134161524.98
2018-08-03 00:00:00,7535.2,7535.2,7282.1,7420.0,226404376.35
2018-08-04 00:00:00,7420.0,7492.2,6928.8,7013.22,211690412.57
2018-08-05 00:00:00,7013.22,7090.0,6890.0,7025.8,123180526.64
2018-08-06 00:00:00,7025.8,7153.6,6847.0,6941.2,123957813.77
2018-08-07 00:00:00,6941.2,7150.0,6677.0,6718.8,220473695.39
2018-08-08 00:00:00,6718.8,6720.1,6128.2,6280.7,324217413.37
2018-08-09 00:00:00,6280.7,6628.0,6183.0,6533.6,212106308.2
2018-08-10 00:00:00,6533.6,6573.8,6010.0,6146.7,270821409.67
2018-08-11 00:00:00,6146.7,6499.5,6008.1,6233.1,222971461.85
2018-08-12 00:00:00,6233.1,6499.0,6162.0,6313.9,142340923.31
2018-08-13 00:00:00,6313.9,6548.3,6137.6,6251.9,194986099.68
2018-08-14 00:00:00,6251.9,6251.9,5858.6,6189.0,310918885.17
2018-08-15 00:00:00,6189.0,6647.6,6180.01,6270.2,405891229.26
2018-08-16 00:00:00,6270.2,6476.7,6212.9,6315.6,159138721.67
2018-08-17 00:00:00,6315.6,6592.9,6290.0,6584.05,168772164.67
2018-08-18 00:00:00,6584.05,6619.5,6300.0,6391.2,124216024.16
2018-08-19 00:00:00,6391.2,6550.3,6309.3,6485.1,85956107.1
2018-08-20 00:00:00,6485.1,6524.0,6230.0,6255.9,194461177.72
2018-08-21 00:00:00,6255.9,6526.2,6245.0,6479.1,182500052.85
2018-08-22 00:00:00,6479.1,6899.0,6250.3,6362.1,316940382.88
2018-08-23 00:00:00,6362.1,6566.64,6350.0,6527.2,116530014.25
2018-08-24 00:00:00,6527.2,6728.6,6451.0,6693.6,129692080.73
